"project_id","site_id","datetime","duration","depth_m","variable","observation"
"vera4cast","fcre",2018-07-23 14:38:25,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-07-30 16:33:36,"P1D",1.5,"GreenAlgae_ugL_sample",3.98
"vera4cast","fcre",2018-07-30 16:33:36,"P1D",1.5,"Bluegreens_ugL_sample",7.33
"vera4cast","fcre",2018-07-30 16:33:36,"P1D",1.5,"BrownAlgae_ugL_sample",5.5
"vera4cast","fcre",2018-07-30 16:33:36,"P1D",1.5,"MixedAlgae_ugL_sample",0.57
"vera4cast","fcre",2018-08-02 17:19:33,"P1D",1.5,"GreenAlgae_ugL_sample",3.25
"vera4cast","fcre",2018-08-02 17:19:33,"P1D",1.5,"Bluegreens_ugL_sample",6.93
"vera4cast","fcre",2018-08-02 17:19:33,"P1D",1.5,"BrownAlgae_ugL_sample",2.32
"vera4cast","fcre",2018-08-02 17:19:33,"P1D",1.5,"MixedAlgae_ugL_sample",0.81
"vera4cast","fcre",2018-08-06 14:33:17,"P1D",1.5,"GreenAlgae_ugL_sample",3.25
"vera4cast","fcre",2018-08-06 14:33:17,"P1D",1.5,"Bluegreens_ugL_sample",5.68
"vera4cast","fcre",2018-08-06 14:33:17,"P1D",1.5,"BrownAlgae_ugL_sample",2.3
"vera4cast","fcre",2018-08-06 14:33:17,"P1D",1.5,"MixedAlgae_ugL_sample",1.88
"vera4cast","fcre",2018-08-09 18:51:13,"P1D",1.5,"GreenAlgae_ugL_sample",13.1
"vera4cast","fcre",2018-08-09 18:51:13,"P1D",1.5,"Bluegreens_ugL_sample",2.58
"vera4cast","fcre",2018-08-09 18:51:13,"P1D",1.5,"BrownAlgae_ugL_sample",4.52
"vera4cast","fcre",2018-08-09 18:51:13,"P1D",1.5,"MixedAlgae_ugL_sample",0.78
"vera4cast","fcre",2018-08-13 14:49:35,"P1D",1.5,"GreenAlgae_ugL_sample",14.57
"vera4cast","fcre",2018-08-13 14:49:35,"P1D",1.5,"Bluegreens_ugL_sample",0
"vera4cast","fcre",2018-08-13 14:49:35,"P1D",1.5,"BrownAlgae_ugL_sample",8.72
"vera4cast","fcre",2018-08-13 14:49:35,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-08-16 22:50:38,"P1D",1.5,"GreenAlgae_ugL_sample",9.27
"vera4cast","fcre",2018-08-16 22:50:38,"P1D",1.5,"Bluegreens_ugL_sample",0.22
"vera4cast","fcre",2018-08-16 22:50:38,"P1D",1.5,"BrownAlgae_ugL_sample",5.32
