"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2022-01-03,2022-01-09,"chlorophyll-a",15.5804374454559
"OneDProcessModel",2022-01-03,2022-01-10,"chlorophyll-a",14.2225861976191
"OneDProcessModel",2022-01-03,2022-01-11,"chlorophyll-a",15.8677707195661
"OneDProcessModel",2022-01-03,2022-01-12,"chlorophyll-a",17.019084173442
"OneDProcessModel",2022-01-03,2022-01-13,"chlorophyll-a",14.1081935932716
"OneDProcessModel",2022-01-03,2022-01-14,"chlorophyll-a",16.2320876636191
"OneDProcessModel",2022-01-03,2022-01-15,"chlorophyll-a",18.3220135271275
"OneDProcessModel",2022-01-03,2022-01-16,"chlorophyll-a",14.5284774312958
"OneDProcessModel",2022-01-03,2022-01-17,"chlorophyll-a",13.8184206935029
"OneDProcessModel",2022-01-03,2022-01-18,"chlorophyll-a",14.9138170918337
"OneDProcessModel",2022-01-03,2022-01-19,"chlorophyll-a",16.3253685136103
"OneDProcessModel",2022-01-03,2022-01-20,"chlorophyll-a",16.4043835679601
"OneDProcessModel",2022-01-03,2022-01-21,"chlorophyll-a",15.1098709366372
"OneDProcessModel",2022-01-03,2022-01-22,"chlorophyll-a",17.8540398201002
"OneDProcessModel",2022-01-03,2022-01-23,"chlorophyll-a",19.0582340030296
"OneDProcessModel",2022-01-03,2022-01-24,"chlorophyll-a",18.7381626754254
"OneDProcessModel",2022-01-03,2022-01-25,"chlorophyll-a",18.0114455184334
"OneDProcessModel",2022-01-03,2022-01-26,"chlorophyll-a",15.8651491095874
"OneDProcessModel",2022-01-03,2022-01-27,"chlorophyll-a",15.3101013023809
"OneDProcessModel",2022-01-03,2022-01-28,"chlorophyll-a",16.259908909172
"OneDProcessModel",2022-01-03,2022-01-29,"chlorophyll-a",16.7223215236429
"OneDProcessModel",2022-01-03,2022-01-30,"chlorophyll-a",17.2513173383679
"OneDProcessModel",2022-01-03,2022-01-31,"chlorophyll-a",17.270373738735
"OneDProcessModel",2022-01-03,2022-02-01,"chlorophyll-a",17.5192727424241
"OneDProcessModel",2022-01-03,2022-02-02,"chlorophyll-a",17.6270114011053
"OneDProcessModel",2022-01-03,2022-02-03,"chlorophyll-a",17.6918465029131
"OneDProcessModel",2022-01-03,2022-02-04,"chlorophyll-a",15.4409231476251
"OneDProcessModel",2022-01-03,2022-02-05,"chlorophyll-a",15.4083316209334
"OneDProcessModel",2022-01-03,2022-02-06,"chlorophyll-a",16.1793771310707
"OneDProcessModel",2022-01-03,2022-02-07,"chlorophyll-a",17.3847239159835
"OneDProcessModel",2022-01-04,2022-01-04,"chlorophyll-a",10.1974305416667
