"model_id","datetime","variable","prediction"
"DOY",2019-01-26,"chlorophyll-a",11.7093160270874
"DOY",2019-01-27,"chlorophyll-a",11.7920068330803
"DOY",2019-01-28,"chlorophyll-a",11.8728616106356
"DOY",2019-01-29,"chlorophyll-a",11.9518097432749
"DOY",2019-01-30,"chlorophyll-a",12.0287806145197
"DOY",2019-01-31,"chlorophyll-a",12.1037036078917
"DOY",2019-02-01,"chlorophyll-a",12.1765081069125
"DOY",2019-02-02,"chlorophyll-a",12.2471234951038
"DOY",2019-02-03,"chlorophyll-a",12.3154791559871
"DOY",2019-02-04,"chlorophyll-a",12.3815044730841
"DOY",2019-02-05,"chlorophyll-a",12.4451288299165
"DOY",2019-02-06,"chlorophyll-a",12.5062816100058
"DOY",2019-02-07,"chlorophyll-a",12.5648921968738
"DOY",2019-02-08,"chlorophyll-a",12.6208899740419
"DOY",2019-02-09,"chlorophyll-a",12.6742043250319
"DOY",2019-02-10,"chlorophyll-a",12.7247646333653
"DOY",2019-02-11,"chlorophyll-a",12.7725017258194
"DOY",2019-02-12,"chlorophyll-a",12.8173902004062
"DOY",2019-02-13,"chlorophyll-a",12.8594552592858
"DOY",2019-02-14,"chlorophyll-a",12.8987249234767
"DOY",2019-02-15,"chlorophyll-a",12.9352272139974
"DOY",2019-02-16,"chlorophyll-a",12.9689901518666
"DOY",2019-02-17,"chlorophyll-a",13.0000417581026
"DOY",2019-02-18,"chlorophyll-a",13.028410053724
"DOY",2019-02-19,"chlorophyll-a",13.0541230597495
"DOY",2019-02-20,"chlorophyll-a",13.0772087971974
"DOY",2019-02-21,"chlorophyll-a",13.0976952870864
"DOY",2019-02-22,"chlorophyll-a",13.115610550435
"DOY",2019-02-23,"chlorophyll-a",13.1309826082616
"DOY",2019-02-24,"chlorophyll-a",13.143839481585
"DOY",2019-02-25,"chlorophyll-a",13.1542091914235
"DOY",2019-02-26,"chlorophyll-a",13.1621197587957
"DOY",2019-02-27,"chlorophyll-a",13.1675992047201
"DOY",2019-02-28,"chlorophyll-a",13.1706755502154
"DOY",2019-03-01,"chlorophyll-a",13.1713768162999
"DOY",2019-03-02,"chlorophyll-a",13.1697310239924
"DOY",2019-03-03,"chlorophyll-a",13.1657661943111
"DOY",2019-03-04,"chlorophyll-a",13.1595103482749
"DOY",2019-03-05,"chlorophyll-a",13.150991506902
"DOY",2019-03-06,"chlorophyll-a",13.1402376912112
"DOY",2019-03-07,"chlorophyll-a",13.1272769222209
"DOY",2019-03-08,"chlorophyll-a",13.1121372209496
"DOY",2019-03-09,"chlorophyll-a",13.0948466084159
"DOY",2019-03-10,"chlorophyll-a",13.0754331056383
"DOY",2019-03-11,"chlorophyll-a",13.0539247336354
"DOY",2019-03-12,"chlorophyll-a",13.0303495134257
"DOY",2019-03-13,"chlorophyll-a",13.0047354660277
"DOY",2019-03-14,"chlorophyll-a",12.97711061246
"DOY",2019-03-15,"chlorophyll-a",12.9475029737411
"DOY",2019-03-16,"chlorophyll-a",12.9159405708895
"DOY",2019-03-17,"chlorophyll-a",12.8824514249237
"DOY",2019-03-18,"chlorophyll-a",12.8470635568624
"DOY",2019-03-19,"chlorophyll-a",12.809804987724
"DOY",2019-03-20,"chlorophyll-a",12.770703738527
"DOY",2019-03-21,"chlorophyll-a",12.7297878302901
"DOY",2019-03-22,"chlorophyll-a",12.6870852840316
"DOY",2019-03-23,"chlorophyll-a",12.6426241207703
"DOY",2019-03-24,"chlorophyll-a",12.5964223718458
"DOY",2019-03-25,"chlorophyll-a",12.5484421693213
"DOY",2019-03-26,"chlorophyll-a",12.498626212213
"DOY",2019-03-27,"chlorophyll-a",12.4469171800259
"DOY",2019-03-28,"chlorophyll-a",12.3932577522653
"DOY",2019-03-29,"chlorophyll-a",12.3375906084362
"DOY",2019-03-30,"chlorophyll-a",12.2798584280438
"DOY",2019-03-31,"chlorophyll-a",12.220003890593
"DOY",2019-04-01,"chlorophyll-a",12.1579696755891
"DOY",2019-04-02,"chlorophyll-a",12.0936984625371
"DOY",2019-04-03,"chlorophyll-a",12.0271329309421
"DOY",2019-04-04,"chlorophyll-a",11.9582157603093
"DOY",2019-04-05,"chlorophyll-a",11.8868896301438
"DOY",2019-04-06,"chlorophyll-a",11.8130972199506
"DOY",2019-04-07,"chlorophyll-a",11.7367812092349
"DOY",2019-04-08,"chlorophyll-a",11.6578842775017
"DOY",2019-04-09,"chlorophyll-a",11.5763491042563
"DOY",2019-04-10,"chlorophyll-a",11.4921183690036
"DOY",2019-04-11,"chlorophyll-a",11.4051347512488
"DOY",2019-04-12,"chlorophyll-a",11.315340930497
"DOY",2019-04-13,"chlorophyll-a",11.2226795862533
"DOY",2019-04-14,"chlorophyll-a",11.1270933980228
"DOY",2019-04-15,"chlorophyll-a",11.0285250453106
"DOY",2019-04-16,"chlorophyll-a",10.9269172076219
"DOY",2019-04-17,"chlorophyll-a",10.8222125644616
"DOY",2019-04-18,"chlorophyll-a",10.714353795335
"DOY",2019-04-19,"chlorophyll-a",10.6032835797472
"DOY",2019-04-20,"chlorophyll-a",10.4889445972032
"DOY",2019-04-21,"chlorophyll-a",10.3712795272081
"DOY",2019-04-22,"chlorophyll-a",10.2502310492671
"DOY",2019-04-23,"chlorophyll-a",10.1257418428853
"DOY",2019-04-24,"chlorophyll-a",9.99775458756768
"DOY",2019-04-25,"chlorophyll-a",9.86621196281948
"DOY",2019-04-26,"chlorophyll-a",9.73105664814576
"DOY",2019-04-27,"chlorophyll-a",9.59223132305163
"DOY",2019-04-28,"chlorophyll-a",9.44967866704219
"DOY",2019-04-29,"chlorophyll-a",9.30334135962254
"DOY",2019-04-30,"chlorophyll-a",9.1531620802978
"DOY",2019-05-01,"chlorophyll-a",8.99908350857307
"DOY",2019-05-02,"chlorophyll-a",8.84104832395346
"DOY",2019-05-03,"chlorophyll-a",8.67900272919114
"DOY",2019-05-04,"chlorophyll-a",8.51310432186234
"DOY",2019-05-05,"chlorophyll-a",8.34383836152055
"DOY",2019-05-06,"chlorophyll-a",8.17171829369583
"DOY",2019-05-07,"chlorophyll-a",7.99725756391822
"DOY",2019-05-08,"chlorophyll-a",7.82096961771777
"DOY",2019-05-09,"chlorophyll-a",7.64336790062452
"DOY",2019-05-10,"chlorophyll-a",7.46496585816852
"DOY",2019-05-11,"chlorophyll-a",7.28627693587981
"DOY",2019-05-12,"chlorophyll-a",7.10781457928844
"DOY",2019-05-13,"chlorophyll-a",6.93009223392446
"DOY",2019-05-14,"chlorophyll-a",6.7536233453179
"DOY",2019-05-15,"chlorophyll-a",6.57892135899883
"DOY",2019-05-16,"chlorophyll-a",6.40649972049727
"DOY",2019-05-17,"chlorophyll-a",6.23687187534327
"DOY",2019-05-18,"chlorophyll-a",6.07055126906689
"DOY",2019-05-19,"chlorophyll-a",5.90805134719817
"DOY",2019-05-20,"chlorophyll-a",5.74988555526715
"DOY",2019-05-21,"chlorophyll-a",5.59656733880387
"DOY",2019-05-22,"chlorophyll-a",5.44861014333839
"DOY",2019-05-23,"chlorophyll-a",5.30652741440075
"DOY",2019-05-24,"chlorophyll-a",5.170832597521
"DOY",2019-05-25,"chlorophyll-a",5.04203913822917
"DOY",2019-05-26,"chlorophyll-a",4.92066048205532
"DOY",2019-05-27,"chlorophyll-a",4.80721007452949
"DOY",2019-05-28,"chlorophyll-a",4.70220136118172
"DOY",2019-05-29,"chlorophyll-a",4.60614778754207
"DOY",2019-05-30,"chlorophyll-a",4.51956279914057
"DOY",2019-05-31,"chlorophyll-a",4.44295984150728
"DOY",2019-06-01,"chlorophyll-a",4.37685236017224
"DOY",2019-06-02,"chlorophyll-a",4.32175380066549
"DOY",2019-06-03,"chlorophyll-a",4.27817760851708
"DOY",2019-06-04,"chlorophyll-a",4.24663722925705
"DOY",2019-06-05,"chlorophyll-a",4.22764610841545
"DOY",2019-06-06,"chlorophyll-a",4.22171769152233
"DOY",2019-06-07,"chlorophyll-a",4.22936542410773
"DOY",2019-06-08,"chlorophyll-a",4.2511027517017
"DOY",2019-06-09,"chlorophyll-a",4.28744311983428
"DOY",2019-06-10,"chlorophyll-a",4.33889997403551
"DOY",2019-06-11,"chlorophyll-a",4.40598675983545
"DOY",2019-06-12,"chlorophyll-a",4.48921692276414
"DOY",2019-06-13,"chlorophyll-a",4.58899748947765
"DOY",2019-06-14,"chlorophyll-a",4.70489034082252
"DOY",2019-06-15,"chlorophyll-a",4.83605433106425
"DOY",2019-06-16,"chlorophyll-a",4.98164583239553
"DOY",2019-06-17,"chlorophyll-a",5.14082121700901
"DOY",2019-06-18,"chlorophyll-a",5.31273685709735
"DOY",2019-06-19,"chlorophyll-a",5.49654912485322
"DOY",2019-06-20,"chlorophyll-a",5.69141439246928
"DOY",2019-06-21,"chlorophyll-a",5.89648903213821
"DOY",2019-06-22,"chlorophyll-a",6.11092941605266
"DOY",2019-06-23,"chlorophyll-a",6.33389191640529
"DOY",2019-06-24,"chlorophyll-a",6.56453290538877
"DOY",2019-06-25,"chlorophyll-a",6.80200875519577
"DOY",2019-06-26,"chlorophyll-a",7.04547583801895
"DOY",2019-06-27,"chlorophyll-a",7.29409052605096
"DOY",2019-06-28,"chlorophyll-a",7.54700919148449
"DOY",2019-06-29,"chlorophyll-a",7.80338820651219
"DOY",2019-06-30,"chlorophyll-a",8.06238394332673
"DOY",2019-07-01,"chlorophyll-a",8.32315277412076
"DOY",2019-07-02,"chlorophyll-a",8.58485107108695
"DOY",2019-07-03,"chlorophyll-a",8.84663520641798
"DOY",2019-07-04,"chlorophyll-a",9.10766155230649
"DOY",2019-07-05,"chlorophyll-a",9.36708648094517
"DOY",2019-07-06,"chlorophyll-a",9.62406636452666
"DOY",2019-07-07,"chlorophyll-a",9.87775757524363
"DOY",2019-07-08,"chlorophyll-a",10.1273164852888
"DOY",2019-07-09,"chlorophyll-a",10.3718994668547
"DOY",2019-07-10,"chlorophyll-a",10.6106628921341
"DOY",2019-07-11,"chlorophyll-a",10.8427631333197
"DOY",2019-07-12,"chlorophyll-a",11.067356562604
"DOY",2019-07-13,"chlorophyll-a",11.2835995521798
"DOY",2019-07-14,"chlorophyll-a",11.4906484742398
"DOY",2019-07-15,"chlorophyll-a",11.6876597009766
"DOY",2019-07-16,"chlorophyll-a",11.8737896045828
"DOY",2019-07-17,"chlorophyll-a",12.0481945572511
"DOY",2019-07-18,"chlorophyll-a",12.2100309311743
"DOY",2019-07-19,"chlorophyll-a",12.3584550985449
"DOY",2019-07-20,"chlorophyll-a",12.4926234315556
"DOY",2019-07-21,"chlorophyll-a",12.611692302399
"DOY",2019-07-22,"chlorophyll-a",12.714818083268
"DOY",2019-07-23,"chlorophyll-a",12.8011597604416
"DOY",2019-07-24,"chlorophyll-a",12.8703007825094
"DOY",2019-07-25,"chlorophyll-a",12.922714694545
"DOY",2019-07-26,"chlorophyll-a",12.9589871205846
"DOY",2019-07-27,"chlorophyll-a",12.9797036846646
"DOY",2019-07-28,"chlorophyll-a",12.985450010821
"DOY",2019-07-29,"chlorophyll-a",12.9768117230902
"DOY",2019-07-30,"chlorophyll-a",12.9543744455084
"DOY",2019-07-31,"chlorophyll-a",12.9187238021119
"DOY",2019-08-01,"chlorophyll-a",12.8704454169368
"DOY",2019-08-02,"chlorophyll-a",12.8101249140194
"DOY",2019-08-03,"chlorophyll-a",12.738347917396
"DOY",2019-08-04,"chlorophyll-a",12.6557000511028
"DOY",2019-08-05,"chlorophyll-a",12.562766939176
"DOY",2019-08-06,"chlorophyll-a",12.4601342056518
"DOY",2019-08-07,"chlorophyll-a",12.3483874745666
"DOY",2019-08-08,"chlorophyll-a",12.2281123699565
"DOY",2019-08-09,"chlorophyll-a",12.0998945158578
"DOY",2019-08-10,"chlorophyll-a",11.9643195363068
"DOY",2019-08-11,"chlorophyll-a",11.8219730553395
"DOY",2019-08-12,"chlorophyll-a",11.6734406969924
