"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-08,2022-01-10,"chlorophyll-a",11.1668872833252
"LSTM",2022-01-08,2022-01-11,"chlorophyll-a",10.6639585494995
"LSTM",2022-01-08,2022-01-12,"chlorophyll-a",9.95767211914062
"LSTM",2022-01-08,2022-01-13,"chlorophyll-a",9.82921981811523
"LSTM",2022-01-08,2022-01-14,"chlorophyll-a",9.19176197052002
"LSTM",2022-01-08,2022-01-15,"chlorophyll-a",8.51384925842285
"LSTM",2022-01-08,2022-01-16,"chlorophyll-a",8.24658489227295
"LSTM",2022-01-08,2022-01-17,"chlorophyll-a",7.96917247772217
"LSTM",2022-01-08,2022-01-18,"chlorophyll-a",8.09502506256104
"LSTM",2022-01-08,2022-01-19,"chlorophyll-a",8.60602378845215
"LSTM",2022-01-08,2022-01-20,"chlorophyll-a",9.43402671813965
"LSTM",2022-01-08,2022-01-21,"chlorophyll-a",10.6960391998291
"LSTM",2022-01-08,2022-01-22,"chlorophyll-a",11.8894758224487
"LSTM",2022-01-08,2022-01-23,"chlorophyll-a",12.2191715240479
"LSTM",2022-01-08,2022-01-24,"chlorophyll-a",13.4138946533203
"LSTM",2022-01-08,2022-01-25,"chlorophyll-a",14.6125011444092
"LSTM",2022-01-08,2022-01-26,"chlorophyll-a",14.5514545440674
"LSTM",2022-01-08,2022-01-27,"chlorophyll-a",15.2525367736816
"LSTM",2022-01-08,2022-01-28,"chlorophyll-a",16.0887470245361
"LSTM",2022-01-09,2022-01-09,"chlorophyll-a",11.8284027777778
"LSTM",2022-01-09,2022-01-10,"chlorophyll-a",11.8829479217529
"LSTM",2022-01-09,2022-01-11,"chlorophyll-a",11.5277881622314
"LSTM",2022-01-09,2022-01-12,"chlorophyll-a",11.245228767395
"LSTM",2022-01-09,2022-01-13,"chlorophyll-a",10.7125701904297
"LSTM",2022-01-09,2022-01-14,"chlorophyll-a",9.95476722717285
"LSTM",2022-01-09,2022-01-15,"chlorophyll-a",9.81593036651611
"LSTM",2022-01-09,2022-01-16,"chlorophyll-a",9.16450786590576
"LSTM",2022-01-09,2022-01-17,"chlorophyll-a",8.47835159301758
"LSTM",2022-01-09,2022-01-18,"chlorophyll-a",8.20337772369385
"LSTM",2022-01-09,2022-01-19,"chlorophyll-a",7.92071151733398
"LSTM",2022-01-09,2022-01-20,"chlorophyll-a",8.05437755584717
"LSTM",2022-01-09,2022-01-21,"chlorophyll-a",8.58310985565186
"LSTM",2022-01-09,2022-01-22,"chlorophyll-a",9.44302940368652
"LSTM",2022-01-09,2022-01-23,"chlorophyll-a",10.7529973983765
"LSTM",2022-01-09,2022-01-24,"chlorophyll-a",11.9870872497559
"LSTM",2022-01-09,2022-01-25,"chlorophyll-a",12.3172130584717
"LSTM",2022-01-09,2022-01-26,"chlorophyll-a",13.4985818862915
"LSTM",2022-01-09,2022-01-27,"chlorophyll-a",14.6510009765625
"LSTM",2022-01-09,2022-01-28,"chlorophyll-a",14.5857400894165
"LSTM",2022-01-09,2022-01-29,"chlorophyll-a",15.2341289520264
"LSTM",2022-01-10,2022-01-10,"chlorophyll-a",12.8497222152778
"LSTM",2022-01-10,2022-01-11,"chlorophyll-a",12.5456218719482
"LSTM",2022-01-10,2022-01-12,"chlorophyll-a",11.9735851287842
"LSTM",2022-01-10,2022-01-13,"chlorophyll-a",11.6132640838623
"LSTM",2022-01-10,2022-01-14,"chlorophyll-a",11.3324136734009
"LSTM",2022-01-10,2022-01-15,"chlorophyll-a",10.809045791626
"LSTM",2022-01-10,2022-01-16,"chlorophyll-a",10.0268669128418
"LSTM",2022-01-10,2022-01-17,"chlorophyll-a",9.84377861022949
"LSTM",2022-01-10,2022-01-18,"chlorophyll-a",9.15649223327637
"LSTM",2022-01-10,2022-01-19,"chlorophyll-a",8.45180511474609
"LSTM",2022-01-10,2022-01-20,"chlorophyll-a",8.17712211608887
"LSTM",2022-01-10,2022-01-21,"chlorophyll-a",7.89652347564697
"LSTM",2022-01-10,2022-01-22,"chlorophyll-a",8.03006839752197
"LSTM",2022-01-10,2022-01-23,"chlorophyll-a",8.57455825805664
"LSTM",2022-01-10,2022-01-24,"chlorophyll-a",9.47755432128906
"LSTM",2022-01-10,2022-01-25,"chlorophyll-a",10.8849077224731
"LSTM",2022-01-10,2022-01-26,"chlorophyll-a",12.206316947937
