"datetime","depth","variable","prediction","observation"
2020-06-24,9,"temperature",NA,9.06105635416667
2020-06-25,0.1,"temperature",NA,24.0634204861111
2020-06-25,1,"temperature",NA,21.3118161111111
2020-06-25,1.6,"temperature",NA,19.1388333333333
2020-06-25,2,"temperature",NA,17.5468213194444
2020-06-25,3,"temperature",NA,14.9371709722222
2020-06-25,4,"temperature",NA,12.3010660416667
2020-06-25,5,"temperature",NA,10.8183923611111
2020-06-25,6,"temperature",NA,9.95894061111111
2020-06-25,7,"temperature",NA,9.53020520833333
2020-06-25,8,"temperature",NA,9.23988723611111
2020-06-25,9,"temperature",NA,9.07239020833333
2020-06-26,0.1,"temperature",NA,23.5339725
2020-06-26,1,"temperature",NA,21.5016119444444
2020-06-26,1.6,"temperature",NA,19.7003125
2020-06-26,2,"temperature",NA,17.7871136805556
2020-06-26,3,"temperature",NA,15.0402703472222
2020-06-26,4,"temperature",NA,12.3304575694444
2020-06-26,5,"temperature",NA,10.8192705555556
2020-06-26,6,"temperature",NA,9.94744740972222
2020-06-26,7,"temperature",NA,9.53770063194444
2020-06-26,8,"temperature",NA,9.24242701388889
2020-06-26,9,"temperature",NA,9.08965363888889
2020-06-27,0.1,"temperature",NA,23.9565447222222
2020-06-27,1,"temperature",NA,22.1020422222222
2020-06-27,1.6,"temperature",NA,20.0846408450704
2020-06-27,2,"temperature",NA,18.1318872916667
2020-06-27,3,"temperature",NA,15.0653914583333
2020-06-27,4,"temperature",NA,12.3947238194444
2020-06-27,5,"temperature",NA,10.8396921527778
2020-06-27,6,"temperature",NA,9.97746195833333
2020-06-27,7,"temperature",NA,9.54527835416667
2020-06-27,8,"temperature",NA,9.25499411111111
2020-06-27,9,"temperature",NA,9.09850629861111
2020-06-28,0.1,"temperature",NA,23.8023826388889
2020-06-28,1,"temperature",NA,21.9991119444444
2020-06-28,1.6,"temperature",NA,20.4259513888889
2020-06-28,2,"temperature",NA,18.3891547222222
2020-06-28,3,"temperature",NA,15.0974346527778
2020-06-28,4,"temperature",NA,12.4262123611111
2020-06-28,5,"temperature",NA,10.8575045833333
2020-06-28,6,"temperature",NA,9.97496024305556
2020-06-28,7,"temperature",NA,9.55333393055556
2020-06-28,8,"temperature",NA,9.28879590277778
2020-06-28,9,"temperature",NA,9.12281629166667
2020-06-29,0.1,"temperature",NA,24.1752169565217
2020-06-29,1,"temperature",NA,22.6492917391304
2020-06-29,1.6,"temperature",NA,21.6691510791367
2020-06-29,2,"temperature",NA,18.6730360144928
2020-06-29,3,"temperature",NA,15.2113965942029
2020-06-29,4,"temperature",NA,12.4470834782609
2020-06-29,5,"temperature",NA,10.8814591304348
2020-06-29,6,"temperature",NA,9.95928465217391
2020-06-29,7,"temperature",NA,9.5512282173913
2020-06-29,8,"temperature",NA,9.35403821014493
2020-06-29,9,"temperature",NA,9.23850731884058
2020-06-30,0.1,"temperature",NA,24.7528933333333
2020-06-30,1,"temperature",NA,23.2836423611111
2020-06-30,1.6,"temperature",NA,21.3589160839161
2020-06-30,2,"temperature",NA,18.8718765277778
2020-06-30,3,"temperature",NA,15.3427904166667
2020-06-30,4,"temperature",NA,12.4765389583333
2020-06-30,5,"temperature",NA,10.8751778472222
2020-06-30,6,"temperature",NA,9.80048282638889
2020-06-30,7,"temperature",NA,9.671089625
2020-06-30,8,"temperature",NA,9.63750035416667
2020-06-30,9,"temperature",NA,9.61312273611111
2020-07-01,0.1,"temperature",NA,25.8066553472222
2020-07-01,1,"temperature",NA,23.5646765972222
2020-07-01,1.6,"temperature",NA,21.5651458333333
2020-07-01,2,"temperature",NA,19.3201621527778
2020-07-01,3,"temperature",NA,15.4188655555556
2020-07-01,4,"temperature",NA,12.5388923611111
2020-07-01,5,"temperature",NA,10.8628300694444
2020-07-01,6,"temperature",NA,9.83899864583333
2020-07-01,7,"temperature",NA,9.80685424305556
2020-07-01,8,"temperature",NA,9.78221984722222
2020-07-01,9,"temperature",NA,9.75898252777778
2020-07-02,0.1,"temperature",NA,26.2392026388889
2020-07-02,1,"temperature",NA,24.1044813888889
2020-07-02,1.6,"temperature",NA,22.196027972028
2020-07-02,2,"temperature",NA,19.7379314583333
2020-07-02,3,"temperature",NA,15.6012996527778
2020-07-02,4,"temperature",NA,12.5716585416667
2020-07-02,5,"temperature",NA,10.7813942361111
2020-07-02,6,"temperature",NA,9.92651029166667
2020-07-02,7,"temperature",NA,9.91201572222222
2020-07-02,8,"temperature",NA,9.88822067361111
2020-07-02,9,"temperature",NA,9.8655416875
2020-07-03,0.1,"temperature",NA,26.8889792361111
2020-07-03,1,"temperature",NA,24.7091319444444
2020-07-03,1.6,"temperature",NA,22.698125
2020-07-03,2,"temperature",NA,20.0358629166667
2020-07-03,3,"temperature",NA,15.7767761805556
2020-07-03,4,"temperature",NA,12.6054584722222
2020-07-03,5,"temperature",NA,10.6302609027778
2020-07-03,6,"temperature",NA,10.0001483333333
2020-07-03,7,"temperature",NA,9.99492836111111
2020-07-03,8,"temperature",NA,9.97185620138889
2020-07-03,9,"temperature",NA,9.95001517361111
2020-07-04,0.1,"temperature",NA,26.8352740972222
2020-07-04,1,"temperature",NA,25.0478755555556
2020-07-04,1.6,"temperature",NA,23.1526503496504
2020-07-04,2,"temperature",NA,20.41655375
2020-07-04,3,"temperature",NA,15.9176327083333
2020-07-04,4,"temperature",NA,12.7068354166667
2020-07-04,5,"temperature",NA,10.494516875
2020-07-04,6,"temperature",NA,10.0681047222222
2020-07-04,7,"temperature",NA,10.065400625
2020-07-04,8,"temperature",NA,10.0406179861111
2020-07-04,9,"temperature",NA,10.0185527847222
2020-07-05,0.1,"temperature",NA,26.8499884027778
2020-07-05,1,"temperature",NA,25.2563472916667
2020-07-05,1.6,"temperature",NA,23.5315902777778
2020-07-05,2,"temperature",NA,20.7896728472222
2020-07-05,3,"temperature",NA,16.045265625
2020-07-05,4,"temperature",NA,12.7450211805556
2020-07-05,5,"temperature",NA,10.4601096527778
2020-07-05,6,"temperature",NA,10.1167972916667
2020-07-05,7,"temperature",NA,10.1204459722222
2020-07-05,8,"temperature",NA,10.0964395833333
2020-07-05,9,"temperature",NA,10.0787464583333
2020-07-06,0.1,"temperature",NA,27.3679493430657
2020-07-06,1,"temperature",NA,26.0149351824818
2020-07-06,1.6,"temperature",NA,23.9352302158273
2020-07-06,2,"temperature",NA,21.0898271532847
2020-07-06,3,"temperature",NA,16.1845288321168
2020-07-06,4,"temperature",NA,12.8376251824818
2020-07-06,5,"temperature",NA,10.3812262773723
2020-07-06,6,"temperature",NA,10.1683797080292
2020-07-06,7,"temperature",NA,10.1711934306569
2020-07-06,8,"temperature",NA,10.1487091970803
2020-07-06,9,"temperature",NA,10.1267216788321
2020-07-07,0.1,"temperature",NA,27.390525625
2020-07-07,1,"temperature",NA,26.5705936111111
2020-07-07,1.6,"temperature",NA,24.4954027777778
2020-07-07,2,"temperature",NA,21.4859028472222
2020-07-07,3,"temperature",NA,16.3126570833333
2020-07-07,4,"temperature",NA,12.8781536111111
2020-07-07,5,"temperature",NA,10.3756995833333
2020-07-07,6,"temperature",NA,10.2006407638889
2020-07-07,7,"temperature",NA,10.2048575
2020-07-07,8,"temperature",NA,10.1857593055556
2020-07-07,9,"temperature",NA,10.1643122222222
2020-07-08,0.1,"temperature",NA,27.7670633333333
2020-07-08,1,"temperature",NA,26.7317579861111
2020-07-08,1.6,"temperature",NA,24.8905833333333
2020-07-08,2,"temperature",NA,21.8172160416667
2020-07-08,3,"temperature",NA,16.4649049305556
2020-07-08,4,"temperature",NA,12.9442320833333
2020-07-08,5,"temperature",NA,10.4087540277778
2020-07-08,6,"temperature",NA,10.2440714583333
2020-07-08,7,"temperature",NA,10.2475948611111
2020-07-08,8,"temperature",NA,10.2286138194444
2020-07-08,9,"temperature",NA,10.2069133333333
2020-07-09,0.1,"temperature",NA,28.1234351388889
2020-07-09,1,"temperature",NA,26.692031875
2020-07-09,1.6,"temperature",NA,25.0859097222222
2020-07-09,2,"temperature",NA,22.0762895138889
2020-07-09,3,"temperature",NA,16.5717059722222
2020-07-09,4,"temperature",NA,13.0070475
2020-07-09,5,"temperature",NA,10.4657367361111
2020-07-09,6,"temperature",NA,10.2901054861111
2020-07-09,7,"temperature",NA,10.2913324305556
2020-07-09,8,"temperature",NA,10.2725140972222
2020-07-09,9,"temperature",NA,10.2517399305556
2020-07-10,0.1,"temperature",NA,27.8417734722222
2020-07-10,1,"temperature",NA,26.8717474305556
2020-07-10,1.6,"temperature",NA,25.3351538461538
2020-07-10,2,"temperature",NA,22.3177880555556
2020-07-10,3,"temperature",NA,16.7257610416667
2020-07-10,4,"temperature",NA,13.077524375
2020-07-10,5,"temperature",NA,10.4342286111111
2020-07-10,6,"temperature",NA,10.3495690277778
2020-07-10,7,"temperature",NA,10.3512315277778
2020-07-10,8,"temperature",NA,10.3316574305556
2020-07-10,9,"temperature",NA,10.3092657638889
2020-07-11,0.1,"temperature",NA,27.6786120833333
2020-07-11,1,"temperature",NA,27.0205029861111
2020-07-11,1.6,"temperature",NA,25.6564236111111
2020-07-11,2,"temperature",NA,22.8164584027778
2020-07-11,3,"temperature",NA,16.8505170138889
2020-07-11,4,"temperature",NA,13.0519404861111
2020-07-11,5,"temperature",NA,10.4734472916667
2020-07-11,6,"temperature",NA,10.3994023611111
2020-07-11,7,"temperature",NA,10.4035914583333
2020-07-11,8,"temperature",NA,10.3842711805556
2020-07-11,9,"temperature",NA,10.3634677777778
2020-07-12,0.1,"temperature",NA,26.8290482638889
2020-07-12,1,"temperature",NA,26.3658913888889
2020-07-12,1.6,"temperature",NA,25.8564577464789
2020-07-12,2,"temperature",NA,23.0056688888889
2020-07-12,3,"temperature",NA,17.0182049305556
2020-07-12,4,"temperature",NA,13.0777554861111
2020-07-12,5,"temperature",NA,10.5386308333333
2020-07-12,6,"temperature",NA,10.4431175
2020-07-12,7,"temperature",NA,10.4450172222222
2020-07-12,8,"temperature",NA,10.4198138888889
2020-07-12,9,"temperature",NA,10.3875875694444
2020-07-13,0.1,"temperature",NA,27.1635518978102
