"datetime","AirTemp_C_mean","PAR_umolm2s_mean","WindSpeed_ms_mean","Flow_cms_mean","Temp_C_mean","SRP_ugL","DIN_ugL","LightAttenuation_Kd","Chla_ugL_mean","Flag_AirTemp_C_mean","Flag_PAR_umolm2s_mean","Flag_WindSpeed_ms_mean","Flag_Flow_cms_mean","Flag_Temp_C_mean","Flag_SRP_ugL","Flag_DIN_ugL","Flag_LightAttenuation_Kd","Flag_Chla_ugL_mean"
2021-07-25,24.75,400.49,1.18,0.00995833333333333,25.6726408450704,12.4,27.4,0.924953095684803,6.89295773943662,0,0,0,0,0,1,1,1,0
2021-07-26,25,364.87,1.43,0.0172916666666667,25.8389928571429,14,32,0.829268292682927,8.64907142857143,0,0,0,0,0,0,0,0,0
2021-07-27,24.23,504.16,1.9,0.0110208333333333,25.9908881118881,12.5714285714286,28.1428571428571,0.838620942600404,9.3700699020979,0,0,0,0,0,1,1,1,0
2021-07-28,25.45,528.5,1.79,0.0095,25.9799236111111,11.1428571428571,24.2857142857143,0.84797359251788,11.7872916944444,0,0,0,0,0,1,1,1,0
2021-07-29,24.97,453.22,1.71,0.00916666666666666,26.09025,9.71428571428572,20.4285714285714,0.857326242435357,15.913125,0,0,0,0,0,1,1,1,0
2021-07-30,27.02,526.67,2.02,0.00857291666666666,26.4138439716312,8.28571428571429,16.5714285714286,0.866678892352833,16.3999290780142,0,0,0,0,0,1,1,1,0
2021-07-31,24.2,432.66,1.7,0.00848958333333333,26.6319097222222,6.85714285714286,12.7142857142857,0.87603154227031,16.2713194444444,0,0,0,0,0,1,1,1,0
2021-08-01,23.69,390.2,1.69,0.00859374999999999,26.8684265734266,5.42857142857143,8.85714285714286,0.885384192187787,11.4016083706294,0,0,0,0,0,1,1,1,0
2021-08-02,22.91,521.78,2.24,0.00813541666666666,26.347035971223,4,5,0.894736842105263,8.76928057553957,0,0,0,0,0,0,0,0,0
2021-08-03,22.37,385.89,0.98,0.00811458333333333,26.0047832167832,4,5.28571428571429,0.901837928153718,7.85055946853147,0,0,0,0,0,1,1,1,0
2021-08-04,21.31,540.77,1.4,0.00770833333333333,25.784986013986,4,5.57142857142857,0.908939014202172,5.85440559440559,0,0,0,0,0,1,1,1,0
2021-08-05,22.07,524.03,1.29,0.00761458333333333,25.4742708333333,4,5.85714285714286,0.916040100250627,5.75520834027778,0,0,0,0,0,1,1,1,0
2021-08-06,23.04,493.99,1.46,0.00753125,25.6015833333333,4,6.14285714285714,0.923141186299081,5.35826389583333,0,0,0,0,0,1,1,1,0
2021-08-07,23.2,299.37,1.28,0.00776041666666666,25.5825070422535,4,6.42857142857143,0.930242272347536,7.3180985915493,0,0,0,0,0,1,1,1,0
2021-08-08,24.1,494.93,1.51,0.00753125,25.2931888111888,4,6.71428571428571,0.93734335839599,7.93888112587413,0,0,0,0,0,1,1,1,0
2021-08-09,25.39,379.68,1.46,0.00742708333333333,25.4690437956204,4,7,0.944444444444444,8.51350364233577,0,0,0,0,0,0,0,0,0
2021-08-10,26.02,473.97,1.32,0.00736458333333333,25.734875,4.28571428571429,7.42857142857143,0.946371882086168,9.83486111111111,0,0,0,0,0,1,1,1,0
2021-08-11,25.45,293.51,1.69,0.0079375,26.0981134751773,4.57142857142857,7.85714285714286,0.948299319727891,11.7623404326241,0,0,0,0,0,1,1,1,0
2021-08-12,25.7,338.3,1.89,0.00820833333333333,26.1428591549296,4.85714285714286,8.28571428571428,0.950226757369614,12.6796478802817,0,0,0,0,0,1,1,1,0
2021-08-13,25.8,353.08,1.89,0.00779166666666666,26.2743098591549,5.14285714285714,8.71428571428571,0.952154195011338,13.3320422605634,0,0,0,0,0,1,1,1,0
2021-08-14,25.65,496.95,2.28,0.00778125,26.4413541666667,5.42857142857143,9.14285714285714,0.954081632653061,13.4349305555556,0,0,0,0,0,1,1,1,0
2021-08-15,24.13,317,1.46,0.0214895833333333,26.6275763888889,5.71428571428571,9.57142857142857,0.956009070294785,15.2246527777778,0,0,0,0,0,1,1,1,0
