"datetime","depth","variable","observation"
2018-10-05,NA,"n_load",0.0297783
2018-10-05,NA,"p_load",0.0143172
2018-10-06,NA,"inflow_rate",0.0716
2018-10-06,NA,"n_load",0.02553972
2018-10-06,NA,"p_load",0.01454196
2018-10-07,NA,"inflow_rate",0.071
2018-10-07,NA,"n_load",0.0220029
2018-10-07,NA,"p_load",0.0150591
2018-10-08,NA,"inflow_rate",0.0689
2018-10-08,NA,"n_load",0.01812759
2018-10-08,NA,"p_load",0.01523379
2018-10-09,NA,"inflow_rate",0.0694
2018-10-09,NA,"n_load",0.03623374
2018-10-09,NA,"p_load",0.01419924
2018-10-10,NA,"inflow_rate",0.0773
2018-10-10,NA,"n_load",0.06037903
2018-10-10,NA,"p_load",0.0145324
2018-10-11,NA,"inflow_rate",0.2389
2018-10-11,NA,"n_load",0.24850378
2018-10-11,NA,"p_load",0.04097135
2018-10-12,NA,"inflow_rate",0.223
2018-10-12,NA,"n_load",0.2897216
2018-10-12,NA,"p_load",0.0345427
2018-10-13,NA,"inflow_rate",0.1939
2018-10-13,NA,"n_load",0.30213498
2018-10-13,NA,"p_load",0.02683576
2018-10-14,NA,"inflow_rate",0.189
2018-10-14,NA,"n_load",0.3434319
2018-10-14,NA,"p_load",0.0230202
2018-10-15,NA,"inflow_rate",0.1959
2018-10-15,NA,"n_load",0.40672758
2018-10-15,NA,"p_load",0.02062827
2018-10-16,NA,"inflow_rate",0.1992
2018-10-16,NA,"n_load",0.36953592
2018-10-16,NA,"p_load",0.02246976
2018-10-17,NA,"inflow_rate",0.188
2018-10-17,NA,"n_load",0.307192
2018-10-17,NA,"p_load",0.0226164
2018-10-18,NA,"inflow_rate",0.1711
2018-10-18,NA,"n_load",0.24173008
2018-10-18,NA,"p_load",0.02188369
2018-10-19,NA,"inflow_rate",0.1534
2018-10-19,NA,"n_load",0.18279144
2018-10-19,NA,"p_load",0.02077036
2018-10-20,NA,"inflow_rate",0.1434
2018-10-20,NA,"n_load",0.13915536
2018-10-20,NA,"p_load",0.02049186
2018-10-21,NA,"inflow_rate",0.1324
2018-10-21,NA,"n_load",0.09920732
2018-10-21,NA,"p_load",0.01991296
2018-10-22,NA,"inflow_rate",0.1224
2018-10-22,NA,"n_load",0.06465168
2018-10-22,NA,"p_load",0.01932696
2018-10-23,NA,"inflow_rate",0.1184
2018-10-23,NA,"n_load",0.05956704
2018-10-23,NA,"p_load",0.01780736
2018-10-24,NA,"inflow_rate",0.1131
2018-10-24,NA,"n_load",0.05407311
2018-10-24,NA,"p_load",0.01616199
2018-10-25,NA,"inflow_rate",0.1093
2018-10-25,NA,"n_load",0.0495129
2018-10-25,NA,"p_load",0.01479922
2018-10-26,NA,"inflow_rate",0.119
2018-10-26,NA,"n_load",0.050932
2018-10-26,NA,"p_load",0.0152201
2018-10-27,NA,"inflow_rate",0.1248
2018-10-27,NA,"n_load",0.05028192
2018-10-27,NA,"p_load",0.01501344
2018-10-28,NA,"inflow_rate",0.1163
2018-10-28,NA,"n_load",0.04394977
2018-10-28,NA,"p_load",0.01311864
2018-10-29,NA,"inflow_rate",0.1118
2018-10-29,NA,"n_load",0.03944304
2018-10-29,NA,"p_load",0.01177254
2018-10-30,NA,"inflow_rate",0.1082
2018-10-30,NA,"n_load",0.05223896
2018-10-30,NA,"p_load",0.01139346
2018-10-31,NA,"inflow_rate",0.1047
2018-10-31,NA,"n_load",0.06417063
2018-10-31,NA,"p_load",0.01102491
2018-11-01,NA,"inflow_rate",0.1009
2018-11-01,NA,"n_load",0.0749687
2018-11-01,NA,"p_load",0.01062477
2018-11-02,NA,"inflow_rate",0.1072
2018-11-02,NA,"n_load",0.0935856
2018-11-02,NA,"p_load",0.01128816
2018-11-03,NA,"inflow_rate",0.1063
2018-11-03,NA,"n_load",0.10662953
2018-11-03,NA,"p_load",0.01119339
2018-11-04,NA,"inflow_rate",0.1006
2018-11-04,NA,"n_load",0.11399992
2018-11-04,NA,"p_load",0.01059318
2018-11-05,NA,"inflow_rate",0.1001
2018-11-05,NA,"n_load",0.12644632
2018-11-05,NA,"p_load",0.01054053
2018-11-06,NA,"inflow_rate",0.1024
2018-11-06,NA,"n_load",0.14267392
2018-11-06,NA,"p_load",0.01078272
2018-11-07,NA,"inflow_rate",0.1007
2018-11-07,NA,"n_load",0.15339631
2018-11-07,NA,"p_load",0.01060371
2018-11-08,NA,"inflow_rate",0.0953
2018-11-08,NA,"n_load",0.15756902
2018-11-08,NA,"p_load",0.01003509
2018-11-09,NA,"inflow_rate",0.0958
2018-11-09,NA,"n_load",0.1708593
2018-11-09,NA,"p_load",0.01008774
2018-11-10,NA,"inflow_rate",0.0942
2018-11-10,NA,"n_load",0.18026112
2018-11-10,NA,"p_load",0.00991926
2018-11-11,NA,"inflow_rate",0.09
2018-11-11,NA,"n_load",0.183933
2018-11-11,NA,"p_load",0.009477
2018-11-12,NA,"inflow_rate",0.1016
2018-11-12,NA,"n_load",0.22085808
2018-11-12,NA,"p_load",0.01069848
2018-11-13,NA,"inflow_rate",0.132
2018-11-13,NA,"n_load",0.3041016
2018-11-13,NA,"p_load",0.0138996
2018-11-14,NA,"inflow_rate",0.1221
2018-11-14,NA,"n_load",0.29717919
2018-11-14,NA,"p_load",0.01285713
2018-11-15,NA,"inflow_rate",0.1772
2018-11-15,NA,"n_load",0.4543408
2018-11-15,NA,"p_load",0.01865916
2018-11-16,NA,"inflow_rate",0.2014
2018-11-16,NA,"n_load",0.5425716
2018-11-16,NA,"p_load",0.02120742
2018-11-17,NA,"inflow_rate",0.1892
2018-11-17,NA,"n_load",0.53431972
2018-11-17,NA,"p_load",0.01992276
2018-11-18,NA,"inflow_rate",0.182
2018-11-18,NA,"n_load",0.5376644
2018-11-18,NA,"p_load",0.0191646
2018-11-19,NA,"inflow_rate",0.1796
2018-11-19,NA,"n_load",0.55392232
2018-11-19,NA,"p_load",0.01891188
2018-11-20,NA,"inflow_rate",0.1726
2018-11-20,NA,"n_load",0.5301409
2018-11-20,NA,"p_load",0.01824382
2018-11-21,NA,"inflow_rate",0.1604
2018-11-21,NA,"n_load",0.49063152
2018-11-21,NA,"p_load",0.0170024
2018-11-22,NA,"inflow_rate",0.1513
2018-11-22,NA,"n_load",0.46087493
2018-11-22,NA,"p_load",0.01609832
2018-11-23,NA,"inflow_rate",0.1416
2018-11-23,NA,"n_load",0.42952944
2018-11-23,NA,"p_load",0.01512288
2018-11-24,NA,"inflow_rate",0.1629
2018-11-24,NA,"n_load",0.49205574
2018-11-24,NA,"p_load",0.01746288
2018-11-25,NA,"inflow_rate",0.1688
2018-11-25,NA,"n_load",0.5077504
2018-11-25,NA,"p_load",0.01816288
2018-11-26,NA,"inflow_rate",0.1613
2018-11-26,NA,"n_load",0.48312576
2018-11-26,NA,"p_load",0.01740427
2018-11-27,NA,"inflow_rate",0.1576
2018-11-27,NA,"n_load",0.47005776
2018-11-27,NA,"p_load",0.01706808
2018-11-28,NA,"inflow_rate",0.1511
2018-11-28,NA,"n_load",0.44873678
2018-11-28,NA,"p_load",0.01642457
2018-11-29,NA,"inflow_rate",0.1448
2018-11-29,NA,"n_load",0.42818808
2018-11-29,NA,"p_load",0.01579768
2018-11-30,NA,"inflow_rate",0.1414
2018-11-30,NA,"n_load",0.41633816
2018-11-30,NA,"p_load",0.01546916
2018-12-01,NA,"inflow_rate",0.1401
2018-12-01,NA,"n_load",0.41073117
2018-12-01,NA,"p_load",0.01538298
2018-12-02,NA,"inflow_rate",0.135
2018-12-02,NA,"n_load",0.394065
2018-12-02,NA,"p_load",0.014877
2018-12-03,NA,"inflow_rate",0.1346
2018-12-03,NA,"n_load",0.39118798
2018-12-03,NA,"p_load",0.01488676
2018-12-04,NA,"inflow_rate",0.1291
2018-12-04,NA,"n_load",0.37356376
2018-12-04,NA,"p_load",0.01431719
2018-12-05,NA,"inflow_rate",0.1262
2018-12-05,NA,"n_load",0.36356958
2018-12-05,NA,"p_load",0.01404606
2018-12-06,NA,"inflow_rate",0.122
2018-12-06,NA,"n_load",0.3499082
2018-12-06,NA,"p_load",0.0136274
2018-12-07,NA,"inflow_rate",0.1191
2018-12-07,NA,"n_load",0.34009005
2018-12-07,NA,"p_load",0.01335111
2018-12-08,NA,"inflow_rate",0.1161
2018-12-08,NA,"n_load",0.33004908
2018-12-08,NA,"p_load",0.01304964
2018-12-09,NA,"inflow_rate",0.1242
2018-12-09,NA,"n_load",0.35149842
2018-12-09,NA,"p_load",0.01400976
2018-12-10,NA,"inflow_rate",0.127
2018-12-10,NA,"n_load",0.3578098
2018-12-10,NA,"p_load",0.0143764
2018-12-11,NA,"inflow_rate",0.1245
2018-12-11,NA,"n_load",0.3491727
2018-12-11,NA,"p_load",0.0141432
2018-12-12,NA,"inflow_rate",0.1206
2018-12-12,NA,"n_load",0.3367152
2018-12-12,NA,"p_load",0.01373634
2018-12-13,NA,"inflow_rate",0.1198
2018-12-13,NA,"n_load",0.33294816
2018-12-13,NA,"p_load",0.01369314
2018-12-14,NA,"inflow_rate",0.1336
2018-12-14,NA,"n_load",0.36961776
2018-12-14,NA,"p_load",0.01532392
2018-12-15,NA,"inflow_rate",0.1915
2018-12-15,NA,"n_load",0.5273527
2018-12-15,NA,"p_load",0.02204165
2018-12-16,NA,"inflow_rate",0.212
2018-12-16,NA,"n_load",0.5811344
2018-12-16,NA,"p_load",0.0244648
2018-12-17,NA,"inflow_rate",0.211
2018-12-17,NA,"n_load",0.5756924
2018-12-17,NA,"p_load",0.0244338
2018-12-18,NA,"inflow_rate",0.2114
2018-12-18,NA,"n_load",0.56777812
2018-12-18,NA,"p_load",0.02397276
2018-12-19,NA,"inflow_rate",0.2055
2018-12-19,NA,"n_load",0.54315705
2018-12-19,NA,"p_load",0.0228105
2018-12-20,NA,"inflow_rate",0.2201
2018-12-20,NA,"n_load",0.57237005
2018-12-20,NA,"p_load",0.02390286
2018-12-21,NA,"inflow_rate",0.2467
2018-12-21,NA,"n_load",0.63100926
2018-12-21,NA,"p_load",0.02619954
2018-12-22,NA,"inflow_rate",0.2292
2018-12-22,NA,"n_load",0.57648384
2018-12-22,NA,"p_load",0.02379096
2018-12-23,NA,"inflow_rate",0.2182
2018-12-23,NA,"n_load",0.5394995
2018-12-23,NA,"p_load",0.02212548
2018-12-24,NA,"inflow_rate",0.2136
2018-12-24,NA,"n_load",0.51902664
2018-12-24,NA,"p_load",0.0211464
2018-12-25,NA,"inflow_rate",0.2103
2018-12-25,NA,"n_load",0.50202816
2018-12-25,NA,"p_load",0.02031498
2018-12-26,NA,"inflow_rate",0.2074
2018-12-26,NA,"n_load",0.48627004
2018-12-26,NA,"p_load",0.01953708
2018-12-27,NA,"inflow_rate",0.2051
2018-12-27,NA,"n_load",0.47211969
2018-12-27,NA,"p_load",0.01882818
2018-12-28,NA,"inflow_rate",0.2299
2018-12-28,NA,"n_load",0.51941307
2018-12-28,NA,"p_load",0.02055306
2018-12-29,NA,"inflow_rate",0.2239
2018-12-29,NA,"n_load",0.49629674
2018-12-29,NA,"p_load",0.01945691
2018-12-30,NA,"inflow_rate",0.2146
2018-12-30,NA,"n_load",0.4665404
2018-12-30,NA,"p_load",0.0181337
2018-12-31,NA,"inflow_rate",0.2067
2018-12-31,NA,"n_load",0.44053971
2018-12-31,NA,"p_load",0.01697007
2019-01-01,NA,"inflow_rate",0.2045
2019-01-01,NA,"n_load",0.42713915
2019-01-01,NA,"p_load",0.01629865
2019-01-02,NA,"inflow_rate",0.2021
2019-01-02,NA,"n_load",0.4134966
2019-01-02,NA,"p_load",0.01562233
2019-01-03,NA,"inflow_rate",0.203
2019-01-03,NA,"n_load",0.4066902
2019-01-03,NA,"p_load",0.0152047
2019-01-04,NA,"inflow_rate",0.2025
2019-01-04,NA,"n_load",0.39704175
2019-01-04,NA,"p_load",0.01468125
2019-01-05,NA,"inflow_rate",0.2025
2019-01-05,NA,"n_load",0.3884355
2019-01-05,NA,"p_load",0.01419525
2019-01-06,NA,"inflow_rate",0.1994
2019-01-06,NA,"n_load",0.37399464
2019-01-06,NA,"p_load",0.01349938
2019-01-07,NA,"inflow_rate",0.1985
2019-01-07,NA,"n_load",0.36383065
2019-01-07,NA,"p_load",0.01296205
2019-01-08,NA,"inflow_rate",0.1985
2019-01-08,NA,"n_load",0.35537455
2019-01-08,NA,"p_load",0.01248565
2019-01-09,NA,"inflow_rate",0.2
2019-01-09,NA,"n_load",0.34952
2019-01-09,NA,"p_load",0.0121
2019-01-10,NA,"inflow_rate",0.2084
2019-01-10,NA,"n_load",0.355322
2019-01-10,NA,"p_load",0.01210804
2019-01-11,NA,"inflow_rate",0.2031
2019-01-11,NA,"n_load",0.33761313
2019-01-11,NA,"p_load",0.01131267
2019-01-12,NA,"inflow_rate",0.1981
2019-01-12,NA,"n_load",0.32086257
2019-01-12,NA,"p_load",0.01053892
2019-01-13,NA,"inflow_rate",0.1984
2019-01-13,NA,"n_load",0.3128768
2019-01-13,NA,"p_load",0.01007872
2019-01-14,NA,"inflow_rate",0.1902
2019-01-14,NA,"n_load",0.29184288
2019-01-14,NA,"p_load",0.00920568
2019-01-15,NA,"inflow_rate",0.1919
2019-01-15,NA,"n_load",0.28625723
2019-01-15,NA,"p_load",0.0088274
2019-01-16,NA,"inflow_rate",0.1877
2019-01-16,NA,"n_load",0.27199607
2019-01-16,NA,"p_load",0.00818372
2019-01-17,NA,"inflow_rate",0.181
2019-01-17,NA,"n_load",0.2545584
2019-01-17,NA,"p_load",0.0074572
2019-01-18,NA,"inflow_rate",0.1767
2019-01-18,NA,"n_load",0.24098346
2019-01-18,NA,"p_load",0.00685596
2019-01-19,NA,"inflow_rate",0.1752
2019-01-19,NA,"n_load",0.23145672
2019-01-19,NA,"p_load",0.00637728
2019-01-20,NA,"inflow_rate",0.2035
2019-01-20,NA,"n_load",0.26017475
2019-01-20,NA,"p_load",0.006919
2019-01-21,NA,"inflow_rate",0.2006
2019-01-21,NA,"n_load",0.24790148
2019-01-21,NA,"p_load",0.00633896
2019-01-22,NA,"inflow_rate",0.1858
2019-01-22,NA,"n_load",0.22950016
2019-01-22,NA,"p_load",0.00609424
2019-01-23,NA,"inflow_rate",0.177
2019-01-23,NA,"n_load",0.2185242
2019-01-23,NA,"p_load",0.0060003
2019-01-24,NA,"inflow_rate",0.1948
2019-01-24,NA,"n_load",0.2403832
2019-01-24,NA,"p_load",0.00683748
2019-01-25,NA,"inflow_rate",0.2001
2019-01-25,NA,"n_load",0.24678333
2019-01-25,NA,"p_load",0.00726363
2019-01-26,NA,"inflow_rate",0.1961
2019-01-26,NA,"n_load",0.24173247
2019-01-26,NA,"p_load",0.00733414
2019-01-27,NA,"inflow_rate",0.1869
2019-01-27,NA,"n_load",0.23027949
2019-01-27,NA,"p_load",0.00721434
2019-01-28,NA,"inflow_rate",0.1774
2019-01-28,NA,"n_load",0.2184681
2019-01-28,NA,"p_load",0.00706052
2019-01-29,NA,"inflow_rate",0.1733
2019-01-29,NA,"n_load",0.21331497
2019-01-29,NA,"p_load",0.00708797
2019-01-30,NA,"inflow_rate",0.1711
2019-01-30,NA,"n_load",0.21048722
2019-01-30,NA,"p_load",0.00720331
2019-01-31,NA,"inflow_rate",0.1663
2019-01-31,NA,"n_load",0.20449911
2019-01-31,NA,"p_load",0.00720079
2019-02-01,NA,"inflow_rate",0.1614
2019-02-01,NA,"n_load",0.1983606
2019-02-01,NA,"p_load",0.0071823
2019-02-02,NA,"inflow_rate",0.1597
2019-02-02,NA,"n_load",0.19617548
2019-02-02,NA,"p_load",0.00728232
2019-02-03,NA,"inflow_rate",0.158
2019-02-03,NA,"n_load",0.1939924
2019-02-03,NA,"p_load",0.0073944
2019-02-04,NA,"inflow_rate",0.1557
2019-02-04,NA,"n_load",0.19105947
2019-02-04,NA,"p_load",0.0074736
2019-02-05,NA,"inflow_rate",0.1525
2019-02-05,NA,"n_load",0.1870565
2019-02-05,NA,"p_load",0.00748775
2019-02-06,NA,"inflow_rate",0.1496
2019-02-06,NA,"n_load",0.18339464
2019-02-06,NA,"p_load",0.00752488
2019-02-07,NA,"inflow_rate",0.1504
2019-02-07,NA,"n_load",0.18430016
2019-02-07,NA,"p_load",0.0077456
2019-02-08,NA,"inflow_rate",0.147
2019-02-08,NA,"n_load",0.1800309
2019-02-08,NA,"p_load",0.0077322
2019-02-09,NA,"inflow_rate",0.1411
2019-02-09,NA,"n_load",0.17130951
2019-02-09,NA,"p_load",0.0076194
2019-02-10,NA,"inflow_rate",0.1368
2019-02-10,NA,"n_load",0.1646388
2019-02-10,NA,"p_load",0.00757872
2019-02-11,NA,"inflow_rate",0.14
2019-02-11,NA,"n_load",0.167006
2019-02-11,NA,"p_load",0.007952
2019-02-12,NA,"inflow_rate",0.1546
2019-02-12,NA,"n_load",0.18278358
2019-02-12,NA,"p_load",0.00899772
2019-02-13,NA,"inflow_rate",0.1588
2019-02-13,NA,"n_load",0.18606596
2019-02-13,NA,"p_load",0.00946448
2019-02-14,NA,"inflow_rate",0.1522
2019-02-14,NA,"n_load",0.1767042
2019-02-14,NA,"p_load",0.0092842
2019-02-15,NA,"inflow_rate",0.1486
2019-02-15,NA,"n_load",0.17094944
2019-02-15,NA,"p_load",0.00925778
2019-02-16,NA,"inflow_rate",0.1548
2019-02-16,NA,"n_load",0.17644104
2019-02-16,NA,"p_load",0.00986076
2019-02-17,NA,"inflow_rate",0.1602
2019-02-17,NA,"n_load",0.18089784
2019-02-17,NA,"p_load",0.01042902
2019-02-18,NA,"inflow_rate",0.1783
2019-02-18,NA,"n_load",0.19944638
2019-02-18,NA,"p_load",0.01185695
2019-02-19,NA,"inflow_rate",0.1732
2019-02-19,NA,"n_load",0.1919056
2019-02-19,NA,"p_load",0.01176028
